sound,date,starttime,endtime,pre,during,post,time_left_feeder,number,species,comments
silent,4/24/2023,10:20:19,10:20:52,absent,feeding,feeding,na,1,chickadee,arrived at 9sec
silent,4/24/2023,10:32:10,10:32:43,feeding,feeding,feeding,na,1,nuthatch,
silent,4/24/2023,10:35:43,10:36:16,feeding,feeding,feeding,na,1,house sparrow,
dog,4/24/2023,10:39:56,10:40:29,feeding,feeding,feeding,na,1,house sparrow,
silent,4/24/2023,10:52:58,10:53:31,feeding,feeding,feeding,na,1,house sparrow,
hawk,4/24/2023,10:56:33,10:57:06,feeding,feeding,feeding,na,1,house sparrow,
human,4/24/2023,11:01:42,11:02:14,feeding,flies away,absent,5,1,house sparrow,
bird,4/24/2023,11:05:51,11:06:24,na,na,na,na,0,na,wind trigger
human,4/24/2023,11:09:24,11:09:56,absent,feeding,feeding,na,1,nuthatch,arrived on screen at 11 sec
human,4/24/2023,11:16:20,11:16:53,feeding,flies away,absent,4,3,house sparrow,cardinal landed at 4 seconds and both birds flew away. a house sparrow landed at 34 sec
dog,4/24/2023,11:27:40,11:28:13,feeding,feeding,feeding,na,1,chickadee,
silent,4/24/2023,11:36:27,11:37:00,feeding,feeding,feeding,na,1,house sparrow,
human,4/24/2023,11:41:18,11:41:51,absent,flies away,absent,5,1,house sparrow,landed at 5 sec and immediately flew away
dog,4/24/2023,11:53:34,11:54:06,na,na,na,na,0,na,
silent,4/24/2023,12:04:42,12:05:14,feeding,flies away,absent,4,1,house sparrow,
bird,4/24/2023,12:08:14,12:08:47,na,na,na,na,0,na,
bird,4/24/2023,12:11:58,12:12:30,absent,flies away,absent,10,1,house sparrow,arrived at 7 sec and laft at 10 sec
dog,4/24/2023,12:15:30,12:16:03,feeding,flies away,absent,15,1,house sparrow,
human,4/24/2023,12:22:43,12:23:16,na,na,na,na,0,na,
bird,4/24/2023,12:30:06,12:30:39,feeding,feeding,feeding,na,1,house sparrow,
silent,4/24/2023,12:35:49,12:36:21,na,na,na,na,0,na,wind triggered
bird,4/24/2023,12:45:06,12:45:38,na,na,na,na,0,na,wind triggered
bird,4/24/2023,12:50:21,12:50:54,feeding,feeding,feeding,na,1,house sparrow,
human,4/24/2023,12:53:54,12:54:26,na,na,na,na,0,na,
